"","pclass","survived","sex","age","sibsp","parch","fare","embarked"
"1","Upper","No","male",45,1,0,83.475,"S"
"3","Lower","No","male",40.5,0,0,15.1,"S"
"4","Lower","No","male",25,0,0,7.7417,"Q"
"6","Lower","No","male",32,0,0,8.3625,"S"
"7","Upper","Yes","female",24,0,0,69.3,"C"
"8","Upper","Yes","female",35,0,0,512.3292,"C"
"9","Lower","Yes","female",2,0,1,12.2875,"S"
"10","Lower","No","male",22,0,0,8.05,"S"
"12","Lower","No","male",28,0,0,7.7958,"S"
"13","Middle","No","male",54,1,0,26,"S"
"14","Lower","Yes","male",29,0,0,9.5,"S"
"15","Middle","No","male",31,1,1,26.25,"S"
"16","Lower","No","male",28,0,0,22.525,"S"
"17","Middle","Yes","female",25,1,1,30,"S"
"18","Middle","Yes","female",19,0,0,13,"S"
"20","Upper","No","male",40,0,0,27.7208,"C"
"21","Middle","No","male",18,0,0,10.5,"S"
"22","Middle","No","male",32,0,0,13,"S"
"24","Upper","No","male",33,0,0,5,"S"
"25","Upper","Yes","female",43,1,0,55.4417,"C"
"26","Lower","Yes","female",24,0,0,7.75,"Q"
"27","Lower","Yes","male",32,0,0,56.4958,"S"
"29","Lower","Yes","male",39,0,0,7.925,"S"
"30","Upper","No","male",49,0,0,26,"S"
"31","Middle","Yes","female",40,0,0,15.75,"S"
"32","Middle","No","male",28,0,0,26,"S"
"33","Lower","No","male",51,0,0,7.75,"S"
"34","Lower","Yes","female",45,0,0,7.225,"C"
"35","Upper","Yes","female",30,0,0,93.5,"S"
"36","Lower","No","female",45,0,0,7.75,"S"
"38","Middle","Yes","female",36,1,0,26,"S"
"39","Lower","Yes","female",63,0,0,9.5875,"S"
"40","Lower","Yes","male",6,0,1,12.475,"S"
"41","Lower","No","female",21,0,0,7.75,"Q"
"43","Middle","Yes","female",18,0,1,23,"S"
"44","Lower","No","male",16,0,0,7.775,"S"
"45","Middle","No","male",26,0,0,10.5,"S"
"46","Lower","No","male",26,0,0,7.8958,"S"
"47","Lower","No","male",11,0,0,18.7875,"C"
"48","Lower","Yes","female",18,0,1,9.35,"S"
"49","Upper","No","male",21,0,1,77.2875,"S"
"50","Lower","No","male",39,0,0,24.15,"S"
"51","Upper","Yes","female",17,1,0,57,"S"
"52","Lower","No","female",31,1,0,18,"S"
"54","Lower","No","male",20,0,0,7.8542,"S"
"55","Upper","Yes","female",58,0,0,146.5208,"C"
"56","Lower","No","male",26,0,0,7.775,"S"
"57","Lower","No","male",35,0,0,8.05,"S"
"59","Upper","Yes","female",39,0,0,108.9,"C"
"60","Lower","Yes","female",18,0,0,7.775,"S"
"62","Upper","No","male",28,0,0,47.1,"S"
"63","Lower","No","male",36,1,1,24.15,"S"
"64","Upper","Yes","female",50,0,1,247.5208,"C"
"66","Lower","No","female",25,1,0,7.925,"S"
"69","Upper","Yes","male",27,1,0,53.1,"S"
"70","Lower","No","male",17,0,0,8.6625,"S"
"71","Upper","No","male",40,0,0,0,"S"
"72","Lower","No","male",14,4,1,39.6875,"S"
"73","Upper","Yes","female",32,0,0,76.2917,"C"
"74","Lower","No","female",18,2,0,18,"S"
"75","Upper","Yes","female",24,3,2,263,"S"
"76","Lower","No","male",9,4,2,31.3875,"S"
"78","Upper","Yes","male",51,0,0,26.55,"S"
"79","Middle","No","male",18,0,0,73.5,"S"
"80","Lower","No","male",41,0,0,7.85,"S"
"82","Middle","No","male",23,1,0,10.5,"S"
"83","Upper","No","male",58,0,0,29.7,"C"
"84","Lower","No","female",27,0,0,7.8792,"Q"
"85","Upper","Yes","male",45,0,0,26.55,"S"
"86","Lower","No","female",8,3,1,21.075,"S"
"87","Middle","No","male",30,1,1,26,"S"
"88","Middle","Yes","female",31,1,1,26.25,"S"
"89","Upper","Yes","female",16,0,0,86.5,"S"
"90","Lower","No","male",16,0,0,9.2167,"S"
"91","Upper","Yes","male",36,0,0,26.2875,"S"
"92","Lower","No","male",2,3,1,21.075,"S"
"93","Upper","Yes","female",35,1,0,52,"S"
"94","Upper","Yes","female",44,0,1,57.9792,"C"
"95","Upper","Yes","female",35,1,0,53.1,"S"
"96","Lower","Yes","female",19,1,0,7.8542,"S"
"97","Middle","No","male",19,0,0,13,"S"
"98","Upper","Yes","female",30,0,0,164.8667,"S"
"99","Middle","No","male",29,0,0,10.5,"S"
"100","Lower","No","male",33,0,0,7.775,"S"
"101","Upper","Yes","female",59,2,0,51.4792,"S"
"103","Lower","Yes","male",22,0,0,7.225,"C"
"104","Upper","No","male",55,1,0,59.4,"C"
"105","Upper","Yes","female",51,1,0,77.9583,"S"
"106","Middle","Yes","female",24,1,0,27.7208,"C"
"107","Upper","Yes","female",55,0,0,27.7208,"C"
"108","Upper","No","male",42,0,0,42.5,"S"
"109","Middle","Yes","male",22,0,0,10.5,"S"
"112","Upper","Yes","male",43,1,0,27.7208,"C"
"114","Upper","Yes","male",48,1,0,76.7292,"C"
"115","Upper","No","male",50,1,0,55.9,"S"
"116","Lower","No","female",23,0,0,8.6625,"S"
"118","Middle","No","male",23,0,0,10.5,"S"
"121","Lower","No","male",48,0,0,7.8542,"S"
"122","Lower","Yes","male",32,0,0,7.775,"S"
"124","Lower","No","male",21,0,0,7.925,"S"
"125","Middle","No","male",40,0,0,13,"S"
"126","Middle","No","male",51,0,0,12.525,"S"
"127","Lower","Yes","female",16,1,1,8.5167,"C"
"128","Middle","No","male",66,0,0,10.5,"S"
"129","Middle","Yes","female",29,1,0,26,"S"
"130","Middle","No","male",28,0,0,13,"S"
"131","Lower","No","male",24,0,0,8.6625,"S"
"132","Lower","Yes","male",29,0,0,7.75,"Q"
"133","Upper","Yes","female",35,1,0,83.475,"S"
"134","Middle","No","male",40,0,0,16,"S"
"136","Middle","Yes","male",3,1,1,18.75,"S"
"137","Lower","No","male",21,0,0,7.8,"S"
"138","Lower","No","male",34,0,0,8.05,"S"
"139","Lower","No","male",44,0,1,16.1,"S"
"141","Middle","Yes","male",2,1,1,23,"S"
"142","Lower","No","male",35,0,0,7.125,"S"
"143","Lower","No","male",28.5,0,0,16.1,"S"
"144","Middle","No","male",59,0,0,13.5,"S"
"145","Middle","Yes","female",34,0,0,13,"S"
"146","Lower","No","male",27,0,0,7.8958,"S"
"147","Lower","Yes","female",22,0,0,8.9625,"S"
"148","Lower","Yes","female",0.75,2,1,19.2583,"C"
"149","Lower","Yes","male",31,0,0,7.925,"S"
"150","Lower","No","male",19,0,0,8.05,"S"
"151","Middle","No","male",54,0,0,14,"S"
"152","Upper","Yes","male",56,0,0,35.5,"C"
"153","Upper","Yes","female",54,1,1,81.8583,"S"
"155","Upper","Yes","male",24,1,0,82.2667,"S"
"156","Lower","No","male",21,0,0,8.05,"S"
"157","Lower","Yes","male",21,0,0,7.8208,"Q"
"159","Middle","Yes","male",62,0,0,10.5,"S"
"160","Lower","No","male",35,0,0,7.05,"S"
"161","Middle","No","male",31,1,1,37.0042,"C"
"162","Lower","Yes","female",18,0,0,8.05,"S"
"163","Middle","No","male",30,0,0,13,"S"
"164","Upper","Yes","female",35,1,0,57.75,"C"
"165","Upper","Yes","female",27,1,1,247.5208,"C"
"166","Lower","No","male",35,0,0,7.8958,"S"
"167","Middle","Yes","male",1,0,2,37.0042,"C"
"168","Upper","Yes","female",64,1,1,26.55,"S"
"169","Lower","No","male",22,0,0,7.5208,"S"
"172","Lower","Yes","male",20,0,0,7.2292,"C"
"174","Middle","No","male",36,0,0,12.875,"C"
"175","Lower","Yes","female",9,1,1,15.2458,"C"
"176","Lower","Yes","female",26,0,0,7.925,"S"
"177","Middle","No","male",25,1,2,41.5792,"C"
"178","Lower","No","male",11.5,1,1,14.5,"S"
"179","Upper","Yes","female",45,0,1,59.4,"C"
"180","Middle","Yes","female",36,0,3,39,"S"
"181","Middle","Yes","female",2,1,1,26,"S"
"182","Middle","Yes","female",28,0,0,13,"S"
"183","Lower","No","male",26,0,0,7.8958,"S"
"184","Upper","Yes","female",38,1,0,71.2833,"C"
"185","Lower","No","male",23,0,0,9.225,"S"
"186","Upper","Yes","female",29,0,0,221.7792,"S"
"188","Lower","Yes","female",16,0,0,7.75,"Q"
"189","Middle","No","male",42,0,0,13,"S"
"190","Lower","No","male",40,1,6,46.9,"S"
"191","Lower","Yes","male",32,0,0,56.4958,"S"
"193","Upper","Yes","male",25,1,0,55.4417,"C"
"194","Lower","Yes","male",24,0,0,7.1417,"S"
"196","Lower","No","female",47,1,0,14.5,"S"
"199","Lower","No","male",20,0,0,8.6625,"S"
"201","Lower","No","male",30,0,0,8.05,"S"
"202","Middle","No","male",27,1,0,26,"S"
"203","Middle","No","male",60,1,1,39,"S"
"204","Lower","No","male",26,1,0,7.8542,"S"
"207","Middle","Yes","male",1,2,1,39,"S"
"208","Middle","No","female",18,1,1,13,"S"
"209","Upper","No","male",23,0,0,93.5,"S"
"210","Lower","No","male",42,0,1,8.4042,"S"
"211","Lower","No","male",4,4,2,31.275,"S"
"212","Lower","Yes","female",18,0,0,9.8417,"S"
"213","Upper","No","male",28,1,0,82.1708,"C"
"214","Lower","No","male",14,5,2,46.9,"S"
"215","Lower","No","male",32,0,0,22.525,"S"
"216","Lower","No","male",24,0,0,7.8958,"S"
"217","Lower","No","male",18,0,0,8.6625,"S"
"218","Lower","Yes","female",33,1,2,20.575,"S"
"219","Middle","No","male",39,0,0,13,"S"
"221","Middle","No","male",42,1,0,27,"S"
"222","Upper","No","male",42,0,0,26.55,"S"
"223","Upper","Yes","male",54,1,0,55.4417,"C"
"225","Upper","Yes","female",25,1,0,55.4417,"C"
"226","Middle","Yes","female",8,1,1,26,"S"
"227","Lower","No","male",43,0,0,6.45,"S"
"229","Middle","Yes","female",24,2,3,18.75,"S"
"230","Middle","Yes","female",21,0,1,21,"S"
"231","Lower","No","male",17,0,0,8.6625,"S"
"232","Lower","Yes","male",0.8333,0,1,9.35,"S"
"233","Upper","No","male",19,3,2,263,"S"
"234","Lower","No","male",28,0,0,22.525,"S"
"235","Lower","No","male",26,0,0,8.05,"S"
"236","Upper","Yes","female",22,1,0,66.6,"S"
"238","Lower","No","male",28,0,0,9.5,"S"
"240","Lower","No","female",29,0,0,7.925,"S"
"241","Middle","No","male",21,0,0,73.5,"S"
"242","Upper","Yes","male",35,0,0,26.2875,"S"
"243","Upper","Yes","male",52,0,0,30.5,"S"
"244","Lower","Yes","male",3,1,1,15.9,"S"
"246","Middle","No","male",27,0,0,13,"S"
"247","Lower","No","male",27,0,0,8.6625,"S"
"249","Lower","No","male",25,0,0,7.65,"S"
"250","Lower","No","male",28,1,0,15.85,"S"
"251","Middle","No","male",35,0,0,10.5,"S"
"253","Upper","Yes","male",32,0,0,30.5,"C"
"254","Upper","Yes","male",17,0,2,110.8833,"C"
"255","Upper","Yes","male",45,0,0,29.7,"C"
"256","Middle","Yes","female",33,1,2,27.75,"S"
"257","Upper","No","male",57,1,0,146.5208,"C"
"258","Upper","No","male",30,1,2,151.55,"S"
"259","Lower","No","male",18,0,0,8.3,"S"
"260","Middle","Yes","female",28,0,0,13,"S"
"262","Upper","No","male",45,0,0,35.5,"S"
"263","Lower","No","female",9,4,2,31.275,"S"
"264","Lower","No","female",31,0,0,7.8542,"S"
"265","Upper","No","male",37,1,0,53.1,"S"
"266","Upper","No","female",36,0,0,31.6792,"C"
"267","Lower","Yes","female",23,0,0,8.05,"S"
"268","Upper","No","male",24,0,1,247.5208,"C"
"269","Lower","No","male",32.5,0,0,9.5,"S"
"270","Lower","Yes","male",19,0,0,8.05,"S"
"271","Middle","Yes","female",45,0,2,30,"S"
"272","Lower","No","female",10,0,2,24.15,"S"
"274","Lower","No","female",10,5,2,46.9,"S"
"275","Upper","Yes","male",25,1,0,91.0792,"C"
"277","Lower","No","male",41,2,0,14.1083,"S"
"278","Middle","Yes","female",30,0,0,12.35,"Q"
"279","Upper","Yes","male",45,1,1,134.5,"C"
"280","Middle","No","male",25,1,0,26,"S"
"282","Middle","Yes","female",55,0,0,16,"S"
"283","Lower","No","female",37,0,0,9.5875,"S"
"286","Upper","No","male",61,0,0,32.3208,"S"
"287","Middle","Yes","female",24,1,0,26,"S"
"289","Lower","No","female",37,0,0,7.75,"Q"
"290","Lower","No","male",37,2,0,7.925,"S"
"292","Middle","No","male",21,1,0,11.5,"S"
"293","Lower","No","male",36,1,0,15.55,"S"
"294","Lower","Yes","female",18,0,0,7.4958,"S"
"295","Lower","No","male",25,0,0,7.05,"S"
"298","Upper","Yes","female",60,1,4,263,"S"
"299","Lower","No","male",13,4,2,31.3875,"S"
"300","Upper","No","male",50,1,1,211.5,"C"
"301","Middle","No","male",25,0,0,13,"S"
"303","Middle","Yes","female",33,0,2,26,"S"
"304","Middle","Yes","female",20,2,1,23,"S"
"306","Middle","Yes","male",42,0,0,13,"S"
"307","Upper","No","male",30,0,0,45.5,"S"
"311","Lower","No","male",30,0,0,7.8958,"S"
"313","Middle","No","male",40,1,0,26,"S"
"314","Middle","No","male",18,0,0,13,"S"
"316","Lower","No","male",32,0,0,8.05,"S"
"317","Upper","Yes","female",21,0,0,77.9583,"S"
"318","Lower","No","male",35,0,0,7.8958,"C"
"319","Middle","No","male",23,0,0,13,"S"
"320","Lower","No","male",1,5,2,46.9,"S"
"322","Lower","Yes","female",45,1,0,14.1083,"S"
"323","Lower","No","male",40,0,0,7.8958,"S"
"324","Upper","Yes","male",27,0,0,76.7292,"C"
"325","Middle","No","male",28,0,0,10.5,"S"
"326","Middle","Yes","female",22,1,1,29,"S"
"327","Lower","Yes","male",21,0,0,7.775,"S"
"328","Upper","Yes","female",30,0,0,106.425,"C"
"329","Lower","Yes","male",23,0,0,7.7958,"S"
"331","Lower","No","male",20,0,0,7.05,"S"
"332","Lower","No","male",50,0,0,8.05,"S"
"334","Lower","No","female",30.5,0,0,7.75,"Q"
"335","Middle","Yes","female",24,2,1,27,"S"
"336","Middle","Yes","male",24,0,0,10.5,"S"
"338","Upper","Yes","female",19,1,0,91.0792,"C"
"339","Lower","No","male",51,0,0,7.0542,"S"
"340","Middle","Yes","male",8,0,2,32.5,"S"
"341","Lower","No","male",20,0,0,9.225,"S"
"342","Upper","Yes","female",39,1,0,55.9,"S"
"343","Middle","No","male",46,0,0,26,"S"
"345","Lower","No","female",35,0,0,7.75,"Q"
"346","Lower","No","male",21,1,0,6.4958,"S"
"347","Lower","No","female",45,1,4,27.9,"S"
"348","Lower","No","male",24,1,0,16.1,"S"
"349","Lower","No","male",17,1,0,7.0542,"S"
"350","Upper","Yes","female",60,0,0,76.2917,"C"
"351","Lower","Yes","male",25,0,0,0,"S"
"352","Lower","No","male",24,0,0,8.05,"S"
"353","Upper","Yes","female",48,1,1,79.2,"C"
"354","Lower","No","female",28,0,0,7.8958,"S"
"355","Lower","Yes","male",22,0,0,7.225,"C"
"356","Lower","No","male",36,0,0,9.5,"S"
"357","Middle","No","male",25,0,0,13,"S"
"358","Lower","No","female",21,0,0,8.6625,"S"
"359","Middle","No","male",24,2,0,31.5,"S"
"360","Lower","No","male",7,4,1,29.125,"Q"
"361","Upper","No","female",2,1,2,151.55,"S"
"363","Middle","No","male",43,1,1,26.25,"S"
"364","Upper","Yes","female",45,1,1,164.8667,"S"
"367","Lower","No","female",3,3,1,21.075,"S"
"368","Upper","Yes","female",22,0,1,61.9792,"C"
"369","Lower","No","male",36,0,0,7.25,"S"
"371","Lower","Yes","female",4,0,1,13.4167,"C"
"372","Upper","No","male",33,0,0,26.55,"S"
"373","Lower","Yes","female",31,1,1,20.525,"S"
"374","Middle","No","female",60,1,0,26,"S"
"375","Upper","No","male",67,1,0,221.7792,"S"
"376","Middle","No","female",29,1,0,26,"S"
"377","Lower","No","male",24,0,0,7.8542,"S"
"378","Upper","Yes","male",53,1,1,81.8583,"S"
"379","Lower","No","male",22,0,0,7.125,"S"
"383","Upper","Yes","male",0.9167,1,2,151.55,"S"
"384","Upper","Yes","female",48,1,0,39.6,"C"
"385","Upper","Yes","female",18,1,0,53.1,"S"
"387","Lower","Yes","male",32,0,0,8.05,"S"
"388","Upper","Yes","female",45,1,0,52.5542,"S"
"389","Lower","No","female",20,1,0,9.825,"S"
"391","Lower","No","male",25,1,0,17.8,"S"
"392","Lower","No","female",9,1,1,15.2458,"C"
"393","Lower","No","male",22,0,0,9.35,"S"
"397","Middle","Yes","male",3,1,1,26,"S"
"398","Middle","Yes","female",42,1,0,26,"S"
"400","Middle","Yes","female",36,0,0,13,"S"
"401","Lower","No","female",6,4,2,31.275,"S"
"403","Lower","Yes","female",22,0,0,7.725,"Q"
"405","Middle","No","male",28,0,0,13.5,"S"
"406","Upper","Yes","male",49,0,0,0,"S"
"407","Lower","No","female",32,1,1,15.5,"Q"
"408","Lower","No","male",10,4,1,29.125,"Q"
"409","Middle","Yes","female",30,0,0,13,"S"
"410","Lower","No","male",40,1,4,27.9,"S"
"411","Lower","No","male",32,0,0,7.8958,"S"
"412","Lower","Yes","female",22,0,0,7.75,"Q"
"413","Lower","Yes","female",22,1,1,12.2875,"S"
"414","Upper","Yes","female",15,0,1,211.3375,"S"
"416","Middle","No","male",29,1,0,26,"S"
"417","Middle","Yes","female",17,0,0,10.5,"S"
"418","Lower","No","male",35,0,0,8.05,"S"
"420","Lower","No","male",27,0,0,8.6625,"S"
"421","Middle","Yes","female",4,1,1,23,"S"
"422","Lower","No","female",21,2,2,34.375,"S"
"423","Upper","No","male",60,0,0,26.55,"S"
"425","Lower","No","male",9,5,2,46.9,"S"
"427","Upper","Yes","male",42,0,0,26.2875,"S"
"429","Upper","Yes","male",31,0,0,28.5375,"C"
"430","Upper","Yes","female",33,0,0,27.7208,"C"
"431","Lower","No","male",20,0,0,7.8542,"S"
"432","Lower","No","male",29,1,0,7.0458,"S"
"433","Middle","Yes","male",8,1,1,36.75,"S"
"434","Lower","No","male",0.75,1,1,13.775,"S"
"435","Upper","Yes","female",43,0,1,211.3375,"S"
"436","Middle","No","female",27,1,0,21,"S"
"437","Middle","No","male",18,0,0,11.5,"S"
"439","Lower","Yes","male",44,0,0,7.925,"S"
"440","Middle","Yes","female",14,1,0,30.0708,"C"
"442","Lower","No","female",20,0,0,8.6625,"S"
"443","Lower","Yes","female",38,1,5,31.3875,"S"
"444","Middle","Yes","female",7,0,2,26.25,"S"
"446","Middle","Yes","female",3,1,2,41.5792,"C"
"447","Lower","Yes","female",36,1,0,17.4,"S"
"448","Middle","No","male",36,0,0,10.5,"S"
"449","Middle","No","male",28,0,0,10.5,"S"
"450","Upper","Yes","female",35,0,0,135.6333,"S"
"452","Lower","No","female",18,0,1,14.4542,"C"
"453","Lower","No","female",28,0,0,7.775,"S"
"454","Lower","No","male",33,1,1,20.525,"S"
"456","Lower","No","male",16,4,1,39.6875,"S"
"457","Upper","No","male",55,0,0,30.5,"S"
"458","Middle","No","male",36.5,0,2,26,"S"
"459","Middle","No","male",50,1,0,26,"S"
"460","Lower","No","female",9,3,2,27.9,"S"
"461","Upper","No","male",51,0,1,61.3792,"C"
"462","Lower","Yes","male",36.5,1,0,17.4,"S"
"464","Middle","Yes","female",24,1,2,65,"S"
"465","Lower","No","male",29,0,0,7.875,"S"
"466","Upper","No","male",42,1,0,52,"S"
"467","Lower","No","male",30,1,0,16.1,"S"
"468","Lower","No","male",20,0,0,9.5,"S"
"469","Middle","No","male",23,0,0,10.5,"S"
"471","Upper","Yes","female",30,0,0,56.9292,"C"
"473","Upper","Yes","female",29,0,0,211.3375,"S"
"475","Lower","Yes","male",32,0,0,7.925,"S"
"476","Lower","No","male",30,0,0,7.2292,"C"
"477","Middle","No","male",30,0,0,13,"S"
"478","Lower","No","male",19,0,0,7.8958,"S"
"479","Lower","No","male",13,0,2,20.25,"S"
"480","Lower","No","male",28,2,0,7.925,"S"
"482","Middle","No","male",32,0,0,10.5,"S"
"483","Lower","Yes","male",20,1,1,15.7417,"C"
"484","Lower","No","male",6,3,1,21.075,"S"
"485","Upper","Yes","female",28,3,2,263,"S"
"486","Upper","No","male",36,1,0,78.85,"S"
"487","Lower","No","female",38,4,2,7.775,"S"
"488","Middle","Yes","female",31,0,0,21,"S"
"489","Lower","No","male",22,0,0,7.8958,"S"
"490","Upper","No","male",47,0,0,38.5,"S"
"491","Middle","No","female",57,0,0,10.5,"S"
"492","Lower","No","female",2,4,2,31.275,"S"
"493","Lower","Yes","female",30,0,0,6.95,"Q"
"494","Upper","Yes","female",21,2,2,262.375,"C"
"495","Middle","No","male",43,0,1,21,"S"
"500","Middle","Yes","female",17,0,0,12,"C"
"502","Lower","No","male",16,2,0,18,"S"
"503","Lower","No","male",22,0,0,7.7958,"S"
"507","Middle","No","female",24,0,0,13,"S"
"508","Lower","Yes","male",27,0,0,6.975,"S"
"509","Upper","Yes","female",23,0,1,83.1583,"C"
"511","Upper","Yes","female",62,0,0,80,""
"513","Lower","No","male",22.5,0,0,7.225,"C"
"514","Middle","Yes","female",45,0,0,13.5,"S"
"515","Upper","Yes","male",27,0,0,30.5,"S"
"519","Lower","No","male",23,0,0,7.8958,"S"
"521","Lower","Yes","female",5,2,1,19.2583,"C"
"523","Upper","No","female",63,1,0,221.7792,"S"
"524","Lower","No","female",30,0,0,7.6292,"Q"
"526","Lower","No","female",39,1,5,31.275,"S"
"527","Lower","Yes","female",15,0,0,7.225,"C"
"528","Upper","Yes","male",40,0,0,31,"C"
"529","Middle","Yes","female",24,1,1,37.0042,"C"
"531","Lower","Yes","female",15,0,0,8.0292,"Q"
"533","Upper","Yes","female",21,0,0,26.55,"S"
"534","Lower","Yes","female",19,1,1,15.7417,"C"
"535","Upper","Yes","male",31,1,0,57,"S"
